DateTime;HOEP
05/01/2002 00:00;22.97
05/01/2002 01:00;23.27
05/01/2002 02:00;24.54
05/01/2002 03:00;15.17
05/01/2002 04:00;23.59
05/01/2002 05:00;28.84
05/01/2002 06:00;30.63
05/01/2002 07:00;32.23
05/01/2002 08:00;30
05/01/2002 09:00;30.16
05/01/2002 10:00;30.25
05/01/2002 11:00;29.76
05/01/2002 12:00;29.51
05/01/2002 13:00;29.63
05/01/2002 14:00;30.37
05/01/2002 15:00;31.11
05/01/2002 16:00;30.65
05/01/2002 17:00;30.09
05/01/2002 18:00;29.47
05/01/2002 19:00;33.81
05/01/2002 20:00;34.56
05/01/2002 21:00;28.93
05/01/2002 22:00;27.55
05/01/2002 23:00;24.22
05/02/2002 00:00;18.75
05/02/2002 01:00;18.89
05/02/2002 02:00;23.3
05/02/2002 03:00;20.56
05/02/2002 04:00;26.35
05/02/2002 05:00;30.1
05/02/2002 06:00;30.97
05/02/2002 07:00;32.82
05/02/2002 08:00;34.6
05/02/2002 09:00;36.7
05/02/2002 10:00;38.64
05/02/2002 11:00;33.56
05/02/2002 12:00;33.07
05/02/2002 13:00;32.49
05/02/2002 14:00;33.37
05/02/2002 15:00;37.54
05/02/2002 16:00;33.55
05/02/2002 17:00;31.93
05/02/2002 18:00;31.33
05/02/2002 19:00;30.88
05/02/2002 20:00;31.84
05/02/2002 21:00;28.99
05/02/2002 22:00;27.2
05/02/2002 23:00;24.75
05/03/2002 00:00;22.95
05/03/2002 01:00;25.74
05/03/2002 02:00;26.17
05/03/2002 03:00;24.99
05/03/2002 04:00;24.69
05/03/2002 05:00;28.29
05/03/2002 06:00;34.46
05/03/2002 07:00;54.17
05/03/2002 08:00;64.18
05/03/2002 09:00;36.22
05/03/2002 10:00;31.67
05/03/2002 11:00;31.7
05/03/2002 12:00;31.53
05/03/2002 13:00;30.91
05/03/2002 14:00;30.73
05/03/2002 15:00;31.08
05/03/2002 16:00;30.78
05/03/2002 17:00;29.04
05/03/2002 18:00;26.04
05/03/2002 19:00;30.42
05/03/2002 20:00;31.26
05/03/2002 21:00;29.8
05/03/2002 22:00;28.35
05/03/2002 23:00;24.66
05/04/2002 00:00;14.34
05/04/2002 01:00;10.83
05/04/2002 02:00;19.55
05/04/2002 03:00;14.15
05/04/2002 04:00;13.73
05/04/2002 05:00;14.66
05/04/2002 06:00;26.92
05/04/2002 07:00;32.73
05/04/2002 08:00;34.15
05/04/2002 09:00;36.26
05/04/2002 10:00;36.46
05/04/2002 11:00;33.81
05/04/2002 12:00;32.61
05/04/2002 13:00;31.81
05/04/2002 14:00;31.16
05/04/2002 15:00;31.19
05/04/2002 16:00;31.32
05/04/2002 17:00;30.02
05/04/2002 18:00;27.08
05/04/2002 19:00;29.77
05/04/2002 20:00;31.47
05/04/2002 21:00;30.23
05/04/2002 22:00;25.16
05/04/2002 23:00;17.85
05/05/2002 00:00;15.83
05/05/2002 01:00;15.74
05/05/2002 02:00;15.69
05/05/2002 03:00;14.16
05/05/2002 04:00;14.39
05/05/2002 05:00;13.37
05/05/2002 06:00;12.28
05/05/2002 07:00;24.1
05/05/2002 08:00;30.69
05/05/2002 09:00;31.65
05/05/2002 10:00;34.28
05/05/2002 11:00;33.17
05/05/2002 12:00;31.48
05/05/2002 13:00;28.69
05/05/2002 14:00;27.17
05/05/2002 15:00;32.09
05/05/2002 16:00;33.12
05/05/2002 17:00;31.5
05/05/2002 18:00;27.47
05/05/2002 19:00;32.57
05/05/2002 20:00;36.36
05/05/2002 21:00;27.1
05/05/2002 22:00;19.09
05/05/2002 23:00;14.54
05/06/2002 00:00;24.23
05/06/2002 01:00;21.86
05/06/2002 02:00;22.91
05/06/2002 03:00;23.08
05/06/2002 04:00;15.12
05/06/2002 05:00;22.88
05/06/2002 06:00;28.19
05/06/2002 07:00;31.32
